`id_pnts`,`id_sps`,`exam_priority`,`subject`,`points`
146,101,3,"Русский язык",73
147,102,2,Обществознание,55
148,102,3,"Русский язык",63
149,103,2,Литература,0
150,103,3,"Русский язык",46
151,104,2,"Английский язык",54
152,104,3,"Русский язык",69
153,105,4,"Индивидуальное достижение",5
154,114,1,Математика,58
155,114,2,Физика,59
156,114,3,"Русский язык",52
157,145,1,Математика,78
158,145,2,Физика,68
159,145,3,"Русский язык",81
160,145,4,"Индивидуальное достижение",5
161,146,1,Математика,76
162,146,2,"Информатика и ИКТ",51
163,146,3,"Русский язык",49
164,147,1,Математика,80
165,147,2,"Информатика и ИКТ",62
166,147,3,"Русский язык",67
167,148,1,Математика,78
168,148,2,Физика,61
169,148,3,"Русский язык",72
170,149,1,Математика,72
171,149,2,Физика,76
172,149,3,"Русский язык",73
173,149,4,"Индивидуальное достижение",5
174,150,1,Математика,46
175,150,2,Физика,41
176,150,3,"Русский язык",49
177,168,1,Математика,70
178,168,2,"Информатика и ИКТ",67
179,168,3,"Русский язык",72
180,168,4,"Индивидуальное достижение",10
181,169,1,Математика,78
182,169,2,Физика,68
183,169,3,"Русский язык",81
184,169,4,"Индивидуальное достижение",5
185,170,1,Математика,76
186,170,2,"Информатика и ИКТ",51
187,170,3,"Русский язык",49
188,171,1,Математика,80
189,171,2,"Информатика и ИКТ",62
190,171,3,"Русский язык",67
191,174,3,"Русский язык",73
192,174,4,"Индивидуальное достижение",5
193,175,1,Математика,78
194,175,2,Физика,61
195,175,3,"Русский язык",72
196,176,1,Математика,72
197,176,2,Физика,76
198,176,3,"Русский язык",73
199,176,4,"Индивидуальное достижение",5
200,177,1,Математика,66
201,177,2,"Информатика и ИКТ",56
202,177,3,"Русский язык",73
203,178,1,Математика,70
204,178,2,"Информатика и ИКТ",46
205,178,3,"Русский язык",66
206,179,1,Математика,46
207,179,2,Физика,41
208,179,3,"Русский язык",49
209,181,1,Математика,58
210,181,2,"Информатика и ИКТ",70
211,181,3,"Русский язык",66
212,183,1,Математика,80
213,183,2,"Информатика и ИКТ",75
214,183,3,"Русский язык",73
215,184,1,Биология,43
216,184,2,Химия,0
217,184,3,"Русский язык",61
218,185,1,Биология,41
219,185,2,Химия,44
220,185,3,"Русский язык",64
221,186,1,Биология,45
222,186,2,Химия,42
223,186,3,"Русский язык",55
224,187,1,Биология,65
225,187,2,Химия,66
226,187,3,"Русский язык",52
227,188,1,Биология,74
228,188,2,Математика,80
229,188,3,"Русский язык",78
230,189,1,Биология,53
231,189,2,Химия,74
232,189,3,"Русский язык",73
233,190,1,Биология,62
234,190,2,Химия,46
235,190,3,"Русский язык",63
236,191,1,Биология,77
237,191,2,Химия,86
238,191,3,"Русский язык",70
239,192,1,Биология,40
240,192,2,Химия,43
241,192,3,"Русский язык",45
242,193,1,Биология,63
243,193,2,Химия,51
244,193,3,"Русский язык",67
245,194,1,Биология,55
246,194,2,Математика,74
247,194,3,"Русский язык",66
248,196,1,Биология,60
249,196,2,Химия,88
250,196,3,"Русский язык",60
251,197,1,Биология,51
252,197,2,Химия,42
253,197,3,"Русский язык",63
254,199,1,Биология,68
255,199,2,Математика,40
256,199,3,"Русский язык",70
257,200,3,"Русский язык",60
258,202,1,Биология,74
259,202,2,Химия,79
260,202,3,"Русский язык",78
261,203,1,Биология,55
262,203,3,"Русский язык",51
263,204,1,Биология,43
264,204,2,Математика,58
265,204,3,"Русский язык",70
266,205,1,Биология,88
267,205,2,Химия,84
268,205,3,"Русский язык",83
269,207,1,Биология,71
270,207,2,Химия,58
271,207,3,"Русский язык",66
272,208,1,Биология,73
273,208,2,Химия,39
274,208,3,"Русский язык",64
275,209,1,Биология,56
276,209,2,Химия,56
277,209,3,"Русский язык",69
278,210,1,Биология,68
279,210,2,Математика,80
280,210,3,"Русский язык",61
281,214,1,Биология,75
282,214,2,Химия,65
283,214,3,"Русский язык",72
284,215,1,Биология,63
285,215,2,Химия,48
286,215,3,"Русский язык",48
287,216,3,"Русский язык",57
288,220,1,Биология,61
289,220,2,Математика,70
290,220,3,"Русский язык",58
291,221,4,"Индивидуальное достижение",5
292,222,1,Биология,60
293,222,2,Химия,68
294,222,3,"Русский язык",81
295,223,1,Биология,48
296,223,2,Химия,48
297,223,3,"Русский язык",55
298,225,3,"Русский язык",0
299,226,2,Химия,55
300,227,1,Биология,48
301,227,2,Химия,51
302,227,3,"Русский язык",63
303,228,1,Биология,74
304,228,2,Химия,69
305,228,3,"Русский язык",66
306,230,1,Биология,61
307,230,2,Химия,64
308,230,3,"Русский язык",80
309,231,1,Биология,61
310,231,2,Химия,39
311,231,3,"Русский язык",52
312,232,1,Биология,58
313,232,2,Химия,56
314,232,3,"Русский язык",61
315,233,1,Биология,49
316,233,2,Математика,40
317,233,3,"Русский язык",48
318,234,1,Биология,40
319,234,2,Химия,69
320,234,3,"Русский язык",52
321,235,1,Математика,52
322,235,2,"Информатика и ИКТ",62
323,235,3,"Русский язык",72
324,236,1,Математика,52
325,236,2,"Информатика и ИКТ",56
326,236,3,"Русский язык",75
327,237,1,Математика,78
328,237,2,Физика,68
329,237,3,"Русский язык",81
330,237,4,"Индивидуальное достижение",5
331,240,1,Математика,74
332,240,2,"Информатика и ИКТ",54
333,240,3,"Русский язык",57
334,241,1,Математика,70
335,241,2,"Информатика и ИКТ",64
336,241,3,"Русский язык",51
337,242,3,"Русский язык",63
338,243,1,Математика,52
339,243,2,Физика,48
340,243,3,"Русский язык",70
341,246,2,"Индивидуальное достижение",3
342,248,1,Математика,40
343,248,2,"Информатика и ИКТ",48
344,248,3,"Русский язык",58
345,249,1,Математика,64
346,249,2,"Информатика и ИКТ",54
347,249,3,"Русский язык",64
348,250,1,Математика,80
349,250,2,"Информатика и ИКТ",64
350,250,3,"Русский язык",70
351,251,1,Математика,52
352,251,2,Обществознание,48
353,251,3,"Русский язык",49
354,253,1,Математика,52
355,253,2,Обществознание,63
356,253,3,"Русский язык",52
357,254,1,Математика,76
358,254,2,Обществознание,64
359,254,3,"Русский язык",66
360,255,1,Математика,52
361,255,2,Обществознание,49
362,255,3,"Русский язык",55
363,256,1,Математика,52
364,256,2,"Информатика и ИКТ",62
365,256,3,"Русский язык",72
366,257,1,Математика,70
367,257,2,"Информатика и ИКТ",56
368,257,3,"Русский язык",78
369,258,2,Обществознание,63
370,258,3,"Русский язык",78
371,259,1,Математика,0
372,259,2,Обществознание,0
373,259,3,"Русский язык",51
374,260,1,Математика,46
375,260,2,Обществознание,47
376,260,3,"Русский язык",45
377,261,1,Математика,72
378,261,3,"Русский язык",73
379,262,1,Математика,40
380,262,3,"Русский язык",51
381,263,1,Математика,80
382,263,2,"Информатика и ИКТ",62
383,263,3,"Русский язык",67
384,264,1,Математика,40
385,264,2,Обществознание,53
386,264,3,"Русский язык",72
387,265,1,Математика,74
388,265,2,Обществознание,81
389,265,3,"Русский язык",78
390,265,4,"Индивидуальное достижение",5
391,266,1,Математика,72
392,266,2,"Информатика и ИКТ",62
393,266,3,"Русский язык",57
394,267,1,Математика,82
395,267,2,Обществознание,71
396,267,3,"Русский язык",81
397,267,4,"Индивидуальное достижение",5
398,269,1,Математика,72
399,269,2,Обществознание,59
400,269,3,"Русский язык",61
401,270,1,Математика,86
402,270,2,Обществознание,75
403,270,3,"Русский язык",89
404,271,1,Математика,0
405,271,2,Обществознание,51
406,271,3,"Русский язык",51
407,272,1,Математика,0
408,272,2,"Информатика и ИКТ",0
409,272,3,"Русский язык",76
410,274,1,Математика,78
411,274,2,Обществознание,75
412,274,3,"Русский язык",73
413,274,4,"Индивидуальное достижение",5
414,275,1,Математика,72
415,275,2,Обществознание,51
416,275,3,"Русский язык",69
417,276,3,"Русский язык",78
418,276,4,"Индивидуальное достижение",5
419,277,1,Математика,78
420,277,2,"Информатика и ИКТ",51
421,277,3,"Русский язык",73
422,278,1,Математика,84
423,278,2,Обществознание,79
424,278,3,"Русский язык",78
425,279,1,Математика,52
426,279,2,Обществознание,53
427,279,3,"Русский язык",67
428,280,1,Математика,70
429,280,2,Обществознание,68
430,280,3,"Русский язык",91
431,282,1,Математика,58
432,282,2,Обществознание,56
433,282,3,"Русский язык",55
434,283,1,Математика,74
435,283,2,"Информатика и ИКТ",78
436,283,3,"Русский язык",67
437,284,1,Математика,70
438,284,2,"Информатика и ИКТ",75
439,284,3,"Русский язык",73
440,285,1,Математика,70
441,285,2,Обществознание,73
442,285,3,"Русский язык",86
443,285,4,"Индивидуальное достижение",5
444,286,1,Математика,72
445,286,2,Обществознание,66
446,286,3,"Русский язык",51
447,287,1,Математика,72
448,287,2,Обществознание,57
449,287,3,"Русский язык",72
450,288,1,Математика,58
451,288,2,Обществознание,49
452,288,3,"Русский язык",48
453,289,1,Математика,58
454,289,2,Обществознание,71
455,289,3,"Русский язык",72
456,290,1,Математика,70
457,290,2,Обществознание,53
458,290,3,"Русский язык",78
459,290,4,"Индивидуальное достижение",5
460,291,1,Математика,76
461,291,2,"Информатика и ИКТ",75
462,291,3,"Русский язык",91
463,291,4,"Индивидуальное достижение",5
464,292,1,Математика,64
465,292,2,Обществознание,68
466,292,3,"Русский язык",75
467,293,1,Математика,70
468,293,2,Обществознание,77
469,293,3,"Русский язык",66
470,294,1,Математика,72
471,294,2,Обществознание,57
472,294,3,"Русский язык",55
473,295,1,Математика,70
474,295,2,Обществознание,85
475,295,3,"Русский язык",86
476,296,1,Математика,70
477,296,2,"Информатика и ИКТ",46
478,296,3,"Русский язык",63
479,297,1,Математика,58
480,297,2,Обществознание,55
481,297,3,"Русский язык",61
482,298,1,Математика,74
483,298,2,Обществознание,59
484,298,3,"Русский язык",61
485,299,1,Математика,70
486,299,2,Обществознание,59
487,299,3,"Русский язык",67
488,300,1,Математика,86
489,300,2,Обществознание,64
490,300,3,"Русский язык",73
491,300,4,"Индивидуальное достижение",5
492,301,1,Математика,40
493,301,2,"Информатика и ИКТ",0
494,301,3,"Русский язык",48
495,302,1,Математика,80
496,302,2,"Информатика и ИКТ",80
497,302,3,"Русский язык",75
498,303,1,Математика,84
499,303,2,"Информатика и ИКТ",80
500,303,3,"Русский язык",81
501,304,1,Математика,58
502,304,2,Обществознание,55
503,304,3,"Русский язык",67
504,305,1,Математика,76
505,305,2,"Информатика и ИКТ",64
506,305,3,"Русский язык",64
507,306,1,Математика,40
508,306,2,Обществознание,60
509,306,3,"Русский язык",43
510,307,1,Математика,92
511,307,2,"Информатика и ИКТ",83
512,307,3,"Русский язык",86
513,307,4,"Индивидуальное достижение",5
514,308,1,Математика,86
515,308,2,"Информатика и ИКТ",80
516,308,3,"Русский язык",91
517,308,4,"Индивидуальное достижение",5
518,309,1,Математика,74
519,309,2,"Информатика и ИКТ",56
520,309,3,"Русский язык",70
521,311,3,"Русский язык",67
522,312,1,Математика,70
523,312,2,"Информатика и ИКТ",70
524,312,3,"Русский язык",81
525,313,4,"Индивидуальное достижение",5
526,315,3,"Русский язык",61
527,317,2,Обществознание,59
528,317,3,"Русский язык",64
529,318,2,Обществознание,49
530,318,3,"Русский язык",52
531,319,2,Обществознание,73
532,319,3,"Русский язык",57
533,321,1,География,53
534,321,2,Математика,64
535,321,3,"Русский язык",54
536,323,1,География,47
537,323,3,"Русский язык",83
538,324,1,География,55
539,324,2,Математика,0
540,324,3,"Русский язык",52
541,325,1,География,40
542,325,2,Математика,40
543,325,3,"Русский язык",51
544,326,1,География,62
545,326,2,Математика,58
546,326,3,"Русский язык",69
547,327,1,География,62
548,327,2,Математика,70
549,327,3,"Русский язык",52
550,328,1,География,86
551,328,2,Математика,76
552,328,3,"Русский язык",75
553,328,4,"Индивидуальное достижение",5
554,329,1,География,61
555,329,3,"Русский язык",73
556,330,1,География,90
557,330,2,Математика,76
558,330,3,"Русский язык",69
559,332,1,География,68
560,332,2,Математика,64
561,332,3,"Русский язык",70
562,333,1,География,63
563,333,2,Биология,43
564,333,3,"Русский язык",61
565,334,1,География,49
566,334,2,Математика,0
567,334,3,"Русский язык",61
568,335,1,География,59
569,335,2,Математика,0
570,335,3,"Русский язык",65
571,337,1,География,59
572,337,3,"Русский язык",49
573,339,1,География,43
574,339,2,Математика,58
575,339,3,"Русский язык",64
576,340,1,География,65
577,340,2,Математика,78
578,340,3,"Русский язык",89
579,340,4,"Индивидуальное достижение",5
580,341,1,География,68
581,341,2,Математика,52
582,341,3,"Русский язык",69
583,342,1,География,61
584,342,2,Математика,70
585,342,3,"Русский язык",75
586,342,4,"Индивидуальное достижение",5
587,343,1,География,59
588,343,2,Математика,46
589,343,3,"Русский язык",60
590,344,1,География,46
591,344,3,"Русский язык",66
592,346,1,География,54
593,346,2,Математика,46
594,346,3,"Русский язык",55
595,347,1,География,57
596,347,2,Математика,46
597,347,3,"Русский язык",72
598,348,1,География,63
599,348,2,Математика,84
600,348,3,"Русский язык",86
601,349,1,География,86
602,349,2,Математика,58
603,349,3,"Русский язык",89
604,350,1,География,66
605,350,2,Математика,64
606,350,3,"Русский язык",63
607,352,1,География,41
608,352,3,"Русский язык",55
609,353,1,География,90
610,353,2,Математика,70
611,353,3,"Русский язык",49
612,354,1,География,43
613,354,2,Математика,46
614,354,3,"Русский язык",40
615,355,1,География,68
616,355,2,Математика,64
617,355,3,"Русский язык",72
618,355,4,"Индивидуальное достижение",5
619,356,2,Биология,74
620,356,3,"Русский язык",66
621,357,1,География,47
622,357,2,Математика,40
623,357,3,"Русский язык",45
624,358,1,География,53
625,359,3,"Русский язык",51
626,360,1,География,60
627,360,2,Биология,53
628,360,3,"Русский язык",72
629,361,1,География,58
630,361,2,Математика,74
631,361,3,"Русский язык",63
632,362,1,География,72
633,362,2,Математика,76
634,362,3,"Русский язык",63
635,364,1,География,63
636,364,2,Математика,76
637,364,3,"Русский язык",63
638,364,4,"Индивидуальное достижение",5
639,365,1,География,81
640,365,2,Математика,58
641,365,3,"Русский язык",54
642,366,1,География,81
643,366,2,Математика,74
644,366,3,"Русский язык",75
645,367,1,Математика,86
646,367,2,"Информатика и ИКТ",80
647,367,3,"Русский язык",91
648,367,4,"Индивидуальное достижение",5
649,368,1,Математика,64
650,368,2,Физика,59
651,368,3,"Русский язык",63
652,371,1,Математика,40
653,371,2,"Информатика и ИКТ",48
654,372,3,"Русский язык",67
655,373,1,Математика,74
656,373,2,Физика,61
657,373,3,"Русский язык",70
658,373,4,"Индивидуальное достижение",5
659,377,1,Математика,64
660,377,3,"Русский язык",54
661,378,1,Математика,70
662,378,2,Физика,56
663,378,3,"Русский язык",61
664,379,1,Математика,52
665,379,2,"Информатика и ИКТ",54
666,379,3,"Русский язык",70
667,379,4,"Индивидуальное достижение",5
668,381,1,Математика,58
669,381,2,Физика,53
670,381,3,"Русский язык",60
671,382,1,Математика,74
672,382,2,"Информатика и ИКТ",62
673,382,3,"Русский язык",49
674,384,1,Математика,64
675,384,2,Физика,56
676,384,3,"Русский язык",52
677,385,1,Математика,76
678,385,2,"Информатика и ИКТ",56
679,385,3,"Русский язык",75
680,385,4,"Индивидуальное достижение",5
681,386,3,"Русский язык",73
682,387,1,Математика,70
683,387,3,"Русский язык",63
684,388,1,Математика,58
685,388,2,Физика,49
686,388,3,"Русский язык",86
687,389,1,Математика,70
688,389,2,"Информатика и ИКТ",70
689,389,3,"Русский язык",72
690,390,1,Математика,52
691,390,2,Физика,59
692,390,3,"Русский язык",46
693,393,1,Математика,40
694,393,3,"Русский язык",51
695,394,1,Математика,58
696,394,3,"Русский язык",67
697,396,1,Математика,72
698,396,2,Физика,48
699,396,3,"Русский язык",67
700,397,1,Математика,58
701,397,2,Физика,61
702,397,3,"Русский язык",48
703,398,1,Математика,70
704,398,2,"Информатика и ИКТ",46
705,398,3,"Русский язык",43
706,399,1,Математика,74
707,399,2,"Информатика и ИКТ",54
708,399,3,"Русский язык",57
709,400,1,Математика,40
710,400,2,"Информатика и ИКТ",0
711,400,3,"Русский язык",57
712,401,1,Математика,74
713,401,2,Физика,61
714,401,3,"Русский язык",61
715,403,3,"Русский язык",45
716,404,1,Математика,64
717,404,2,"Информатика и ИКТ",51
718,404,3,"Русский язык",64
719,405,1,Математика,70
720,405,2,Физика,43
721,405,3,"Русский язык",42
722,406,1,Математика,58
723,406,2,Физика,46
724,406,3,"Русский язык",52
725,407,1,Математика,40
726,407,2,Физика,53
727,407,3,"Русский язык",57
728,408,1,Математика,82
729,408,2,"Информатика и ИКТ",59
730,408,3,"Русский язык",75
731,409,3,"Русский язык",58
732,410,1,Математика,46
733,410,2,Физика,39
734,410,3,"Русский язык",60
735,411,3,"Русский язык",66
736,412,1,Математика,58
737,412,2,Физика,53
738,412,3,"Русский язык",57
739,413,1,Математика,58
740,413,2,Физика,54
741,413,3,"Русский язык",83
742,415,1,Математика,74
743,415,2,Физика,73
744,415,3,"Русский язык",73
745,416,1,Математика,70
746,416,2,Физика,64
747,416,3,"Русский язык",49
748,417,1,Математика,80
749,417,2,Физика,54
750,417,3,"Русский язык",49
751,418,1,Математика,72
752,418,2,Физика,48
753,418,3,"Русский язык",66
754,419,1,Математика,72
755,419,2,Физика,61
756,419,3,"Русский язык",72
757,419,4,"Индивидуальное достижение",5
758,421,1,Математика,52
759,421,2,Физика,39
760,421,3,"Русский язык",52
761,422,1,Математика,74
762,422,2,Физика,59
763,422,3,"Русский язык",60
764,423,1,Математика,58
765,423,2,Физика,51
766,423,3,"Русский язык",70
767,423,4,"Индивидуальное достижение",5
768,424,1,Математика,0
769,424,2,Физика,39
770,424,3,"Русский язык",49
771,425,1,Математика,52
772,425,3,"Русский язык",66
773,426,1,Математика,52
774,426,2,"Информатика и ИКТ",48
775,426,3,"Русский язык",67
776,427,1,Математика,40
777,427,2,Физика,44
778,427,3,"Русский язык",45
779,429,1,Математика,70
780,429,2,Физика,59
781,429,3,"Русский язык",61
782,430,1,Математика,70
783,430,2,Физика,47
784,430,3,"Русский язык",83
785,431,1,Математика,70
786,431,2,"Информатика и ИКТ",46
787,431,3,"Русский язык",63
788,432,1,Математика,40
789,432,3,"Русский язык",60
790,433,1,Математика,40
791,433,2,Физика,49
792,433,3,"Русский язык",61
793,435,1,Математика,40
794,435,2,Физика,68
795,435,3,"Русский язык",67
796,436,1,Математика,76
797,436,3,"Русский язык",63
798,436,4,"Индивидуальное достижение",5
799,437,1,История,84
800,437,2,Обществознание,59
801,437,3,"Русский язык",63
802,438,1,История,47
803,438,2,Обществознание,0
804,438,3,"Русский язык",60
805,446,1,География,49
806,446,2,Математика,0
807,446,3,"Русский язык",61
808,448,1,История,66
809,448,2,Обществознание,60
810,448,3,"Русский язык",73
811,449,1,История,72
812,449,2,Обществознание,67
813,449,3,"Русский язык",60
814,451,1,История,47
815,451,2,Обществознание,66
816,451,3,"Русский язык",67
817,452,1,История,51
818,452,2,Обществознание,63
819,452,3,"Русский язык",70
820,453,1,История,91
821,453,2,Обществознание,85
822,453,3,"Русский язык",75
823,453,4,"Индивидуальное достижение",5
824,454,1,История,68
825,454,2,Обществознание,52
826,454,3,"Русский язык",61
827,455,1,История,78
828,455,2,Обществознание,67
829,455,3,"Русский язык",75
830,456,1,История,60
831,456,2,Обществознание,57
832,456,3,"Русский язык",55
833,458,1,История,60
834,458,2,Обществознание,51
835,458,3,"Русский язык",81
836,459,3,"Русский язык",46
837,460,1,Математика,76
838,460,2,"Информатика и ИКТ",75
839,460,3,"Русский язык",72
840,461,1,Математика,86
841,461,2,Физика,82
842,461,3,"Русский язык",86
843,462,1,Математика,72
844,462,2,Физика,74
845,462,3,"Русский язык",81
846,463,1,Математика,78
847,463,2,"Информатика и ИКТ",75
848,463,3,"Русский язык",81
849,464,1,Математика,72
850,464,2,"Информатика и ИКТ",59
851,464,3,"Русский язык",55
852,467,1,Математика,84
853,467,2,Физика,90
854,467,3,"Русский язык",89
855,468,3,"Русский язык",67
856,469,1,Математика,84
857,469,2,Физика,79
858,469,3,"Русский язык",66
859,470,1,Математика,70
860,470,3,"Русский язык",63
861,471,2,Физика,59
862,471,3,"Русский язык",60
863,472,1,Математика,52
864,472,2,"Информатика и ИКТ",62
865,472,3,"Русский язык",72
866,473,3,"Русский язык",83
867,474,1,Математика,70
868,474,2,"Информатика и ИКТ",70
869,474,3,"Русский язык",72
870,475,1,Математика,74
871,475,2,"Информатика и ИКТ",72
872,475,3,"Русский язык",73
873,476,2,Физика,77
874,476,3,"Русский язык",73
875,477,1,Математика,58
876,477,2,Физика,61
877,477,3,"Русский язык",60
878,478,1,Математика,46
879,478,2,Физика,43
880,478,3,"Русский язык",67
881,479,1,Математика,80
882,479,2,"Информатика и ИКТ",62
883,479,3,"Русский язык",72
884,480,4,"Индивидуальное достижение",5
885,481,1,Математика,40
886,481,3,"Русский язык",51
887,482,1,Математика,80
888,482,2,"Информатика и ИКТ",64
889,482,3,"Русский язык",67
890,483,1,Математика,76
891,483,2,"Информатика и ИКТ",51
892,483,3,"Русский язык",49
893,487,1,Математика,90
894,487,2,Физика,96
895,487,3,"Русский язык",97
896,487,4,"Индивидуальное достижение",5
897,489,1,Математика,64
898,489,2,"Информатика и ИКТ",78
899,489,3,"Русский язык",70
900,490,1,Математика,64
901,490,2,Физика,67
902,490,3,"Русский язык",54
903,491,1,Математика,74
904,491,2,"Информатика и ИКТ",54
905,491,3,"Русский язык",57
906,492,1,Математика,70
907,492,2,"Информатика и ИКТ",67
908,492,3,"Русский язык",66
909,494,1,Математика,82
910,494,2,"Информатика и ИКТ",70
911,494,3,"Русский язык",63
912,495,1,Математика,82
913,495,2,"Информатика и ИКТ",59
914,495,3,"Русский язык",75
915,496,1,Математика,58
916,496,2,"Информатика и ИКТ",59
917,496,3,"Русский язык",57
918,497,3,"Русский язык",58
919,498,1,Математика,74
920,498,3,"Русский язык",67
921,499,1,Математика,74
922,499,2,"Информатика и ИКТ",78
923,499,3,"Русский язык",70
924,500,1,Математика,64
925,500,2,Физика,54
926,500,3,"Русский язык",52
927,501,1,Математика,76
928,501,2,"Информатика и ИКТ",67
929,501,3,"Русский язык",73
930,501,4,"Индивидуальное достижение",5
931,502,1,Математика,52
932,502,3,"Русский язык",57
933,504,1,Математика,82
934,504,2,Физика,58
935,504,3,"Русский язык",58
936,505,1,Математика,90
937,505,2,Физика,86
938,505,3,"Русский язык",94
939,505,4,"Индивидуальное достижение",5
940,506,1,Математика,40
941,506,2,Физика,49
942,506,3,"Русский язык",43
943,507,1,Математика,92
944,507,2,Физика,73
945,507,3,"Русский язык",72
946,508,1,Математика,76
947,508,2,Физика,46
948,508,3,"Русский язык",54
949,509,1,Математика,74
950,509,2,Физика,59
951,509,3,"Русский язык",60
952,510,1,Математика,70
953,510,2,Физика,64
954,510,3,"Русский язык",89
955,510,4,"Индивидуальное достижение",5
956,511,3,"Русский язык",70
957,512,1,Математика,0
958,512,2,Физика,39
959,512,3,"Русский язык",49
960,514,1,Математика,78
961,514,2,Физика,79
962,514,3,"Русский язык",57
963,516,1,Математика,52
964,516,3,"Русский язык",66
965,517,1,Математика,72
966,517,2,Физика,58
967,517,3,"Русский язык",63
968,517,4,"Индивидуальное достижение",10
969,518,1,Математика,72
970,518,3,"Русский язык",69
971,518,4,"Индивидуальное достижение",5
972,519,1,Математика,78
973,519,2,Физика,54
974,519,3,"Русский язык",94
975,519,4,"Индивидуальное достижение",5
976,520,1,Математика,46
977,520,2,Физика,56
978,520,3,"Русский язык",57
979,521,3,"Русский язык",67
980,522,1,Математика,40
981,522,3,"Русский язык",60
982,525,1,Математика,70
983,525,2,Физика,65
984,525,3,"Русский язык",69
985,526,1,Математика,88
986,526,2,"Информатика и ИКТ",88
987,526,3,"Русский язык",75
988,526,4,"Индивидуальное достижение",5
989,527,1,Математика,70
